Rainfall amount (millimetres)
0.0
1.8
9.4
14.0
17.8
12.8
1.4
0.0
0.0
0.0
0.0
0.0
0.0
1.0
9.4
0.0
0.0
0.0
0.0
0.0
1.0
1.8
19.6
0.0
0.2
0.0
18.8
5.4
19.2
5.4
29.8
10.0
0.0
0.6
7.2
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.2
0.0
0.0
10.8
0.0
0.0
0.0
0.0
0.0
1.8
12.4
7.4
3.6
0.0
3.8
1.4
0.0
22.0
24.8
0.0
0.0
1.2
0.0
0.0
0.2
0.0
0.0
0.0
0.0
2.0
0.6
0.0
0.0
0.0
0.0
0.0
0.0
12.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
5.4
0.0
0.0
0.0
0.0
0.0
0.0
0.0
37.2
33.8
3.6
0.0
6.4
0.0
0.0
0.0
6.2
46.4
79.0
9.4
23.0
11.4
0.0
0.0
0.0
8.4
0.2
0.0
4.2
0.0
0.0
15.0
0.2
0.0
11.4
4.2
0.0
0.0
0.0
0.0
0.0
0.2
0.0
1.2
24.4
11.2
4.0
1.4
30.6
7.2
7.4
0.4
0.0
0.0
0.0
0.0
6.6
7.2
0.0
28.6
3.2
22.2
8.4
14.4
0.4
0.2
0.0
0.0
0.0
0.0
8.4
2.0
0.0
0.0
0.0
12.8
23.0
0.0
2.4
0.0
18.4
9.4
6.2
0.0
0.2
0.0
0.0
0.0
6.2
0.0
0.0
22.6
57.8
0.2
0.0
8.2
2.4
0.0
0.0
0.0
0.8
3.0
22.6
3.0
0.4
0.0
0.0
0.0
0.0
0.0
15.4
4.0
0.0
0.6
0.0
0.0
0.0
1.0
1.0
0.0
14.8
5.0
9.4
0.6
0.6
0.0
0.8
0.0
0.0
0.0
0.0
52.0
5.0
0.6
45.2
0.2
0.0
0.0
0.0
0.0
4.4
14.0
0.0
0.0
0.0
5.6
5.6
5.2
0.0
0.0
1.6
0.0
1.2
2.2
0.0
0.0
2.4
0.0
10.2
1.0
12.2
11.0
14.6
14.4
31.4
20.6
25.6
0.6
0.0
0.0
0.0
31.6
6.0
0.4
2.8
0.0
0.0
0.0
24.6
10.6
22.2
0.0
0.0
7.2
8.2
0.2
0.0
0.0
0.4
0.0
0.0
5.0
17.8
0.0
2.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.2
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.2
0.0
0.0
0.0
0.0
11.8
1.0
11.0
106.2
23.4
0.0
0.0
0.0
0.0
14.6
1.0
0.0
0.0
0.0
63.4
0.0
0.0
0.0
49.2
0.0
0.0
0.0
0.0
0.0
27.8
21.6
0.0
0.0
1.4
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.2
0.4
0.0
0.0
0.2
19.4
20.4
0.8
0.0
0.0
0.0
0.0
3.4
0.0
0.0
0.0
0.0
0.0
0.0
8.0
0.8
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
1.0
4.2
1.4
0.2
0.0
0.0
0.0
0.0
0.0
0.0
0.2
1.8
0.0
0.0
2.8
0.0
0.0
2.2
9.6
21.6
20.0
6.0
0.8
7.6
0.2
22.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
17.4
28.0
10.4
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.6
14.4
2.0
0.0
32.6
28.8
1.8
0.0
0.0
0.0
0.0
0.6
0.2
0.0
0.0
0.0
1.6
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
7.4
0.0
0.0
0.0
5.8
0.0
0.0
0.0
14.8
13.2
0.0
1.0
0.0
0.2
0.0
0.0
0.0
5.6
4.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.2
0.0
0.0
0.0
0.4
0.0
0.0
0.0
17.4
18.0
5.6
0.2
0.4
2.8
0.2
0.0
0.0
0.0
0.2
1.6
0.0
0.0
8.6
9.2
0.0
0.8
0.0
0.0
4.2
1.6
6.8
1.4
6.2
0.0
0.0
0.0
0.2
0.0
0.0
3.4
7.2
6.0
15.0
5.4
0.0
0.0
0.0
4.8
0.0
0.0
2.4
75.6
36.6
26.2
19.6
1.2
0.0
0.0
0.0
0.4
0.0
0.0
3.6
10.4
0.0
0.0
