date,snow_depth,month,year,Maximum temperature (Degree C),Rainfall amount (millimetres)
2016-08-21,122.0,8,2016,0.0,5.0
2016-08-22,125.0,8,2016,0.1,9.4
2016-08-23,129.0,8,2016,0.1,0.6
2016-08-24,129.0,8,2016,0.2,0.6
2016-08-25,125.0,8,2016,-1.3,0.0
2016-08-26,124.0,8,2016,0.7,0.8
2016-08-27,124.0,8,2016,-1.2,0.0
2016-08-28,124.0,8,2016,1.8,0.0
2016-08-29,122.0,8,2016,5.1,0.0
2016-08-30,120.0,8,2016,5.6,0.0
2016-08-31,109.0,8,2016,4.7,52.0
2016-09-01,104.0,9,2016,3.1,5.0
2016-09-02,103.0,9,2016,3.6,0.6
2016-09-03,116.0,9,2016,1.3,45.2
2016-09-04,113.0,9,2016,8.8,0.2
2016-09-05,109.0,9,2016,12.3,0.0
2016-09-06,105.0,9,2016,9.7,0.0
2016-09-07,101.0,9,2016,8.1,0.0
2016-09-08,97.0,9,2016,6.3,0.0
2016-09-09,90.0,9,2016,6.2,4.4
2016-09-10,81.0,9,2016,5.0,14.0
2016-09-11,78.0,9,2016,3.5,0.0
2016-09-12,78.0,9,2016,5.1,0.0
2016-09-13,77.0,9,2016,8.0,0.0
2016-09-14,74.0,9,2016,5.2,5.6
2016-09-15,93.0,9,2016,0.8,
2016-09-16,90.0,9,2016,0.6,5.2
2016-09-17,89.0,9,2016,2.5,0.0
2016-09-18,86.0,9,2016,2.1,0.0
2016-09-19,83.0,9,2016,3.8,1.6
2016-09-20,82.0,9,2016,3.4,0.0
2016-09-21,79.0,9,2016,5.0,1.2
2016-09-22,79.0,9,2016,2.2,2.2
2016-09-23,72.0,9,2016,9.1,0.0
2016-09-24,68.0,9,2016,6.3,0.0
2016-09-25,65.0,9,2016,5.6,2.4
2016-09-26,63.0,9,2016,1.2,0.0
2016-09-27,72.0,9,2016,1.5,10.2
2016-09-28,70.0,9,2016,7.0,1.0
2016-09-29,64.0,9,2016,0.1,12.2
2016-09-30,64.0,9,2016,0.2,11.0
2016-10-01,64.0,10,2016,1.9,14.6
2016-10-02,64.0,10,2016,7.1,14.4
2016-10-03,64.0,10,2016,-0.6,31.4
2016-10-04,64.0,10,2016,0.2,20.6
2016-10-05,64.0,10,2016,3.3,25.6
2016-10-06,64.0,10,2016,6.3,0.6
2016-10-07,64.0,10,2016,8.2,0.0
2016-10-08,64.0,10,2016,8.1,0.0
2016-10-09,64.0,10,2016,9.2,0.0
