Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,083084,2020,01,01,20.6,1,N
IDCJAC0010,083084,2020,01,02,23.4,1,N
IDCJAC0010,083084,2020,01,03,23.6,1,N
IDCJAC0010,083084,2020,01,04,29.6,1,N
IDCJAC0010,083084,2020,01,05,12.9,1,N
IDCJAC0010,083084,2020,01,06,11.7,1,N
IDCJAC0010,083084,2020,01,07,19.8,1,N
IDCJAC0010,083084,2020,01,08,18.3,1,N
IDCJAC0010,083084,2020,01,09,21.7,1,N
IDCJAC0010,083084,2020,01,10,23.0,1,N
IDCJAC0010,083084,2020,01,11,17.3,1,N
IDCJAC0010,083084,2020,01,12,16.7,1,N
IDCJAC0010,083084,2020,01,13,18.0,1,N
IDCJAC0010,083084,2020,01,14,21.8,1,N
IDCJAC0010,083084,2020,01,15,20.3,1,N
IDCJAC0010,083084,2020,01,16,21.2,1,N
IDCJAC0010,083084,2020,01,17,17.9,1,N
IDCJAC0010,083084,2020,01,18,20.6,1,N
IDCJAC0010,083084,2020,01,19,20.9,1,Y
IDCJAC0010,083084,2020,01,20,10.6,1,N
IDCJAC0010,083084,2020,01,21,11.9,1,N
IDCJAC0010,083084,2020,01,22,17.8,1,N
IDCJAC0010,083084,2020,01,23,9.9,1,N
IDCJAC0010,083084,2020,01,24,12.7,1,N
IDCJAC0010,083084,2020,01,25,17.8,1,N
IDCJAC0010,083084,2020,01,26,20.4,1,N
IDCJAC0010,083084,2020,01,27,21.4,1,N
IDCJAC0010,083084,2020,01,28,20.8,1,N
IDCJAC0010,083084,2020,01,29,23.5,1,N
IDCJAC0010,083084,2020,01,30,24.4,1,N
IDCJAC0010,083084,2020,01,31,28.4,1,N
IDCJAC0010,083084,2020,02,01,24.8,1,Y
IDCJAC0010,083084,2020,02,02,15.1,1,Y
IDCJAC0010,083084,2020,02,03,12.5,1,Y
IDCJAC0010,083084,2020,02,04,17.6,1,Y
IDCJAC0010,083084,2020,02,05,19.8,1,Y
IDCJAC0010,083084,2020,02,06,18.8,1,Y
IDCJAC0010,083084,2020,02,07,19.5,1,Y
IDCJAC0010,083084,2020,02,08,14.6,1,Y
IDCJAC0010,083084,2020,02,09,10.3,1,Y
IDCJAC0010,083084,2020,02,10,16.1,1,Y
IDCJAC0010,083084,2020,02,11,18.7,1,Y
IDCJAC0010,083084,2020,02,12,16.3,1,Y
IDCJAC0010,083084,2020,02,13,17.9,1,Y
IDCJAC0010,083084,2020,02,14,18.6,1,Y
IDCJAC0010,083084,2020,02,15,18.4,1,Y
IDCJAC0010,083084,2020,02,16,14.2,1,Y
IDCJAC0010,083084,2020,02,17,18.8,1,Y
IDCJAC0010,083084,2020,02,18,17.1,1,Y
IDCJAC0010,083084,2020,02,19,7.5,1,Y
IDCJAC0010,083084,2020,02,20,13.5,1,Y
IDCJAC0010,083084,2020,02,21,13.9,1,Y
IDCJAC0010,083084,2020,02,22,16.6,1,Y
IDCJAC0010,083084,2020,02,23,15.5,1,Y
IDCJAC0010,083084,2020,02,24,18.1,1,Y
IDCJAC0010,083084,2020,02,25,17.2,1,Y
IDCJAC0010,083084,2020,02,26,13.0,1,Y
IDCJAC0010,083084,2020,02,27,12.6,1,Y
IDCJAC0010,083084,2020,02,28,16.3,1,Y
IDCJAC0010,083084,2020,02,29,16.5,1,Y
IDCJAC0010,083084,2020,03,01,16.8,1,N
IDCJAC0010,083084,2020,03,02,17.0,1,N
IDCJAC0010,083084,2020,03,03,17.3,1,N
IDCJAC0010,083084,2020,03,04,12.0,1,N
IDCJAC0010,083084,2020,03,05,11.9,1,N
IDCJAC0010,083084,2020,03,06,11.7,1,N
IDCJAC0010,083084,2020,03,07,13.6,1,N
IDCJAC0010,083084,2020,03,08,8.0,1,N
IDCJAC0010,083084,2020,03,09,10.8,1,N
IDCJAC0010,083084,2020,03,10,,,
IDCJAC0010,083084,2020,03,11,13.8,1,Y
IDCJAC0010,083084,2020,03,12,,,
IDCJAC0010,083084,2020,03,13,12.5,1,N
IDCJAC0010,083084,2020,03,14,4.7,1,N
IDCJAC0010,083084,2020,03,15,10.5,1,N
IDCJAC0010,083084,2020,03,16,14.0,1,N
IDCJAC0010,083084,2020,03,17,14.1,1,N
IDCJAC0010,083084,2020,03,18,15.5,1,N
IDCJAC0010,083084,2020,03,19,17.5,1,N
IDCJAC0010,083084,2020,03,20,12.5,1,N
IDCJAC0010,083084,2020,03,21,14.3,1,N
IDCJAC0010,083084,2020,03,22,12.6,1,N
IDCJAC0010,083084,2020,03,23,11.5,1,Y
IDCJAC0010,083084,2020,03,24,9.3,1,N
IDCJAC0010,083084,2020,03,25,12.3,1,N
IDCJAC0010,083084,2020,03,26,14.2,1,N
IDCJAC0010,083084,2020,03,27,14.5,1,N
IDCJAC0010,083084,2020,03,28,14.4,1,N
IDCJAC0010,083084,2020,03,29,9.9,1,N
IDCJAC0010,083084,2020,03,30,11.5,1,N
IDCJAC0010,083084,2020,03,31,14.1,1,N
IDCJAC0010,083084,2020,04,01,13.7,1,N
IDCJAC0010,083084,2020,04,02,9.3,1,
IDCJAC0010,083084,2020,04,03,7.4,1,N
IDCJAC0010,083084,2020,04,04,4.3,1,N
IDCJAC0010,083084,2020,04,05,4.5,1,N
IDCJAC0010,083084,2020,04,06,5.8,1,N
IDCJAC0010,083084,2020,04,07,9.5,1,N
IDCJAC0010,083084,2020,04,08,9.1,1,N
IDCJAC0010,083084,2020,04,09,12.7,1,N
IDCJAC0010,083084,2020,04,10,7.9,1,N
IDCJAC0010,083084,2020,04,11,3.7,1,N
IDCJAC0010,083084,2020,04,12,9.9,1,N
IDCJAC0010,083084,2020,04,13,13.0,1,N
IDCJAC0010,083084,2020,04,14,14.7,1,N
IDCJAC0010,083084,2020,04,15,15.1,1,N
IDCJAC0010,083084,2020,04,16,9.3,1,N
IDCJAC0010,083084,2020,04,17,6.3,1,N
IDCJAC0010,083084,2020,04,18,9.3,1,N
IDCJAC0010,083084,2020,04,19,7.7,1,N
IDCJAC0010,083084,2020,04,20,5.2,1,N
IDCJAC0010,083084,2020,04,21,4.4,1,N
IDCJAC0010,083084,2020,04,22,8.3,1,N
IDCJAC0010,083084,2020,04,23,6.2,1,N
IDCJAC0010,083084,2020,04,24,10.0,1,N
IDCJAC0010,083084,2020,04,25,9.9,1,N
IDCJAC0010,083084,2020,04,26,8.0,1,N
IDCJAC0010,083084,2020,04,27,10.4,1,N
IDCJAC0010,083084,2020,04,28,9.3,1,N
IDCJAC0010,083084,2020,04,29,9.3,1,N
IDCJAC0010,083084,2020,04,30,0.5,1,N
IDCJAC0010,083084,2020,05,01,-1.8,1,N
IDCJAC0010,083084,2020,05,02,-0.7,1,N
IDCJAC0010,083084,2020,05,03,1.9,1,N
IDCJAC0010,083084,2020,05,04,6.3,1,N
IDCJAC0010,083084,2020,05,05,9.1,1,N
IDCJAC0010,083084,2020,05,06,5.8,1,N
IDCJAC0010,083084,2020,05,07,6.2,1,N
IDCJAC0010,083084,2020,05,08,6.1,1,N
IDCJAC0010,083084,2020,05,09,3.3,1,N
IDCJAC0010,083084,2020,05,10,-0.5,1,N
IDCJAC0010,083084,2020,05,11,3.5,1,N
IDCJAC0010,083084,2020,05,12,2.3,1,N
IDCJAC0010,083084,2020,05,13,2.0,1,N
IDCJAC0010,083084,2020,05,14,4.4,1,N
IDCJAC0010,083084,2020,05,15,6.9,1,N
IDCJAC0010,083084,2020,05,16,7.2,1,N
IDCJAC0010,083084,2020,05,17,10.8,1,N
IDCJAC0010,083084,2020,05,18,7.3,1,N
IDCJAC0010,083084,2020,05,19,5.4,1,N
IDCJAC0010,083084,2020,05,20,3.1,1,N
IDCJAC0010,083084,2020,05,21,1.5,1,N
IDCJAC0010,083084,2020,05,22,-0.4,1,N
IDCJAC0010,083084,2020,05,23,-0.1,1,N
IDCJAC0010,083084,2020,05,24,0.2,1,N
IDCJAC0010,083084,2020,05,25,6.2,1,N
IDCJAC0010,083084,2020,05,26,9.8,1,N
IDCJAC0010,083084,2020,05,27,5.0,1,N
IDCJAC0010,083084,2020,05,28,4.8,1,N
IDCJAC0010,083084,2020,05,29,7.4,1,N
IDCJAC0010,083084,2020,05,30,4.1,1,N
