Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,083084,2019,01,01,20.7,1,Y
IDCJAC0010,083084,2019,01,02,23.0,1,Y
IDCJAC0010,083084,2019,01,03,22.3,1,Y
IDCJAC0010,083084,2019,01,04,25.4,1,Y
IDCJAC0010,083084,2019,01,05,15.4,1,Y
IDCJAC0010,083084,2019,01,06,17.1,1,Y
IDCJAC0010,083084,2019,01,07,19.1,1,Y
IDCJAC0010,083084,2019,01,08,16.6,1,Y
IDCJAC0010,083084,2019,01,09,16.2,1,Y
IDCJAC0010,083084,2019,01,10,17.9,1,Y
IDCJAC0010,083084,2019,01,11,19.5,1,Y
IDCJAC0010,083084,2019,01,12,22.2,1,Y
IDCJAC0010,083084,2019,01,13,24.0,1,Y
IDCJAC0010,083084,2019,01,14,24.1,1,Y
IDCJAC0010,083084,2019,01,15,25.9,1,Y
IDCJAC0010,083084,2019,01,16,28.2,1,Y
IDCJAC0010,083084,2019,01,17,24.8,1,Y
IDCJAC0010,083084,2019,01,18,22.5,1,Y
IDCJAC0010,083084,2019,01,19,23.4,1,Y
IDCJAC0010,083084,2019,01,20,24.8,1,Y
IDCJAC0010,083084,2019,01,21,23.2,1,Y
IDCJAC0010,083084,2019,01,22,25.9,1,Y
IDCJAC0010,083084,2019,01,23,24.8,1,Y
IDCJAC0010,083084,2019,01,24,26.6,1,Y
IDCJAC0010,083084,2019,01,25,26.6,1,Y
IDCJAC0010,083084,2019,01,26,24.6,1,Y
IDCJAC0010,083084,2019,01,27,14.5,1,Y
IDCJAC0010,083084,2019,01,28,15.5,1,Y
IDCJAC0010,083084,2019,01,29,18.5,1,Y
IDCJAC0010,083084,2019,01,30,17.4,1,Y
IDCJAC0010,083084,2019,01,31,19.4,1,Y
IDCJAC0010,083084,2019,02,01,18.8,1,Y
IDCJAC0010,083084,2019,02,02,18.8,1,Y
IDCJAC0010,083084,2019,02,03,22.0,1,Y
IDCJAC0010,083084,2019,02,04,21.3,1,Y
IDCJAC0010,083084,2019,02,05,14.4,1,Y
IDCJAC0010,083084,2019,02,06,20.2,1,Y
