Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,083084,2021,04,24,5.7,1,Y
IDCJAC0010,083084,2021,04,25,7.5,1,Y
IDCJAC0010,083084,2021,04,26,12.0,1,Y
IDCJAC0010,083084,2021,04,27,11.6,1,Y
IDCJAC0010,083084,2021,04,28,10.7,1,Y
IDCJAC0010,083084,2021,04,29,11.2,1,Y
IDCJAC0010,083084,2021,04,30,12.1,1,Y
IDCJAC0010,083084,2021,05,01,10.5,1,Y
IDCJAC0010,083084,2021,05,02,9.9,1,Y
IDCJAC0010,083084,2021,05,03,6.0,1,Y
IDCJAC0010,083084,2021,05,04,5.4,1,Y
IDCJAC0010,083084,2021,05,05,6.7,1,Y
IDCJAC0010,083084,2021,05,06,10.0,1,Y
IDCJAC0010,083084,2021,05,07,12.9,1,Y
IDCJAC0010,083084,2021,05,08,7.9,1,Y
IDCJAC0010,083084,2021,05,09,5.4,1,Y
IDCJAC0010,083084,2021,05,10,4.8,1,Y
IDCJAC0010,083084,2021,05,11,3.8,1,Y
IDCJAC0010,083084,2021,05,12,5.7,1,Y
IDCJAC0010,083084,2021,05,13,3.2,1,Y
IDCJAC0010,083084,2021,05,14,-0.8,1,Y
IDCJAC0010,083084,2021,05,15,-1.5,1,Y
IDCJAC0010,083084,2021,05,16,-0.1,1,Y
IDCJAC0010,083084,2021,05,17,3.4,1,Y
IDCJAC0010,083084,2021,05,18,5.4,1,Y
IDCJAC0010,083084,2021,05,19,4.5,1,Y
IDCJAC0010,083084,2021,05,20,4.3,1,Y
IDCJAC0010,083084,2021,05,21,8.5,1,Y
IDCJAC0010,083084,2021,05,22,7.7,1,Y
IDCJAC0010,083084,2021,05,23,9.9,1,Y
IDCJAC0010,083084,2021,05,24,6.4,1,Y
IDCJAC0010,083084,2021,05,25,5.5,1,Y
IDCJAC0010,083084,2021,05,26,0.0,1,Y
IDCJAC0010,083084,2021,05,27,0.4,1,Y
IDCJAC0010,083084,2021,05,28,1.4,1,Y
IDCJAC0010,083084,2021,05,29,4.5,1,Y
IDCJAC0010,083084,2021,05,30,9.4,1,Y
IDCJAC0010,083084,2021,05,31,8.9,1,Y
IDCJAC0010,083084,2021,06,01,3.5,1,Y
IDCJAC0010,083084,2021,06,02,5.8,1,Y
IDCJAC0010,083084,2021,06,03,5.7,1,Y
IDCJAC0010,083084,2021,06,04,2.2,1,Y
IDCJAC0010,083084,2021,06,05,2.2,1,Y
IDCJAC0010,083084,2021,06,06,2.6,1,Y
IDCJAC0010,083084,2021,06,07,1.4,1,Y
IDCJAC0010,083084,2021,06,08,-0.1,1,Y
IDCJAC0010,083084,2021,06,09,2.0,1,Y
IDCJAC0010,083084,2021,06,10,0.5,1,Y
IDCJAC0010,083084,2021,06,11,2.3,1,Y
IDCJAC0010,083084,2021,06,12,0.2,1,Y
IDCJAC0010,083084,2021,06,13,1.6,1,Y
IDCJAC0010,083084,2021,06,14,4.1,1,Y
IDCJAC0010,083084,2021,06,15,1.6,1,Y
IDCJAC0010,083084,2021,06,16,1.8,1,Y
IDCJAC0010,083084,2021,06,17,-0.6,1,Y
IDCJAC0010,083084,2021,06,18,0.6,1,Y
IDCJAC0010,083084,2021,06,19,0.3,1,Y
IDCJAC0010,083084,2021,06,20,0.2,1,Y
IDCJAC0010,083084,2021,06,21,3.4,1,Y
IDCJAC0010,083084,2021,06,22,2.8,1,Y
IDCJAC0010,083084,2021,06,23,4.0,1,Y
IDCJAC0010,083084,2021,06,24,4.0,1,Y
IDCJAC0010,083084,2021,06,25,0.0,1,Y
IDCJAC0010,083084,2021,06,26,-0.2,1,Y
IDCJAC0010,083084,2021,06,27,1.0,1,Y
IDCJAC0010,083084,2021,06,28,2.9,1,Y
IDCJAC0010,083084,2021,06,29,3.0,1,Y
IDCJAC0010,083084,2021,06,30,2.5,1,Y
IDCJAC0010,083084,2021,07,01,2.7,1,N
IDCJAC0010,083084,2021,07,02,1.5,1,N
IDCJAC0010,083084,2021,07,03,-3.4,1,N
IDCJAC0010,083084,2021,07,04,-2.3,1,N
IDCJAC0010,083084,2021,07,05,1.1,1,N
IDCJAC0010,083084,2021,07,06,2.5,1,N
IDCJAC0010,083084,2021,07,07,2.7,1,N
IDCJAC0010,083084,2021,07,08,2.4,1,N
IDCJAC0010,083084,2021,07,09,3.7,1,N
IDCJAC0010,083084,2021,07,10,2.0,1,N
IDCJAC0010,083084,2021,07,11,2.7,1,N
IDCJAC0010,083084,2021,07,12,0.2,1,N
IDCJAC0010,083084,2021,07,13,0.2,1,N
IDCJAC0010,083084,2021,07,14,1.3,1,N
IDCJAC0010,083084,2021,07,15,1.9,1,N
IDCJAC0010,083084,2021,07,16,-0.6,1,N
IDCJAC0010,083084,2021,07,17,-1.1,1,N
IDCJAC0010,083084,2021,07,18,-0.1,1,N
IDCJAC0010,083084,2021,07,19,-1.4,1,N
IDCJAC0010,083084,2021,07,20,-1.2,1,N
IDCJAC0010,083084,2021,07,21,-2.6,1,N
IDCJAC0010,083084,2021,07,22,-1.4,1,N
IDCJAC0010,083084,2021,07,23,-1.3,1,N
IDCJAC0010,083084,2021,07,24,-1.6,1,N
IDCJAC0010,083084,2021,07,25,-0.2,1,N
IDCJAC0010,083084,2021,07,26,1.1,1,N
IDCJAC0010,083084,2021,07,27,1.1,1,N
IDCJAC0010,083084,2021,07,28,0.3,1,N
IDCJAC0010,083084,2021,07,29,-1.3,1,N
IDCJAC0010,083084,2021,07,30,0.6,1,N
IDCJAC0010,083084,2021,07,31,2.6,1,N
IDCJAC0010,083084,2021,08,01,1.7,1,Y
IDCJAC0010,083084,2021,08,02,1.4,1,N
IDCJAC0010,083084,2021,08,03,-1.0,1,N
IDCJAC0010,083084,2021,08,04,0.0,1,N
IDCJAC0010,083084,2021,08,05,4.0,1,N
IDCJAC0010,083084,2021,08,06,1.9,1,N
IDCJAC0010,083084,2021,08,07,0.1,1,N
IDCJAC0010,083084,2021,08,08,0.9,1,N
