Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,083084,2016,01,01,21.2,1,Y
IDCJAC0010,083084,2016,01,02,15.4,1,Y
IDCJAC0010,083084,2016,01,03,9.7,1,Y
IDCJAC0010,083084,2016,01,04,8.5,1,Y
IDCJAC0010,083084,2016,01,05,12.4,1,Y
IDCJAC0010,083084,2016,01,06,11.6,1,Y
IDCJAC0010,083084,2016,01,07,13.2,1,Y
IDCJAC0010,083084,2016,01,08,18.6,1,Y
IDCJAC0010,083084,2016,01,09,20.7,1,Y
IDCJAC0010,083084,2016,01,10,21.5,1,Y
IDCJAC0010,083084,2016,01,11,22.8,1,Y
IDCJAC0010,083084,2016,01,12,23.4,1,Y
IDCJAC0010,083084,2016,01,13,25.2,1,Y
IDCJAC0010,083084,2016,01,14,17.7,1,Y
IDCJAC0010,083084,2016,01,15,11.3,1,Y
IDCJAC0010,083084,2016,01,16,16.0,1,Y
IDCJAC0010,083084,2016,01,17,17.3,1,Y
IDCJAC0010,083084,2016,01,18,18.6,1,Y
IDCJAC0010,083084,2016,01,19,22.9,1,Y
IDCJAC0010,083084,2016,01,20,16.4,1,Y
IDCJAC0010,083084,2016,01,21,19.5,1,Y
IDCJAC0010,083084,2016,01,22,14.8,1,Y
IDCJAC0010,083084,2016,01,23,17.4,1,Y
IDCJAC0010,083084,2016,01,24,18.7,1,Y
IDCJAC0010,083084,2016,01,25,17.0,1,Y
IDCJAC0010,083084,2016,01,26,18.0,1,Y
IDCJAC0010,083084,2016,01,27,12.5,1,Y
IDCJAC0010,083084,2016,01,28,17.1,1,Y
IDCJAC0010,083084,2016,01,29,13.2,1,Y
IDCJAC0010,083084,2016,01,30,15.6,1,Y
IDCJAC0010,083084,2016,01,31,6.4,1,Y
IDCJAC0010,083084,2016,02,01,13.3,1,Y
IDCJAC0010,083084,2016,02,02,16.7,1,Y
IDCJAC0010,083084,2016,02,03,12.1,1,Y
IDCJAC0010,083084,2016,02,04,13.6,1,Y
IDCJAC0010,083084,2016,02,05,16.4,1,Y
IDCJAC0010,083084,2016,02,06,19.8,1,Y
IDCJAC0010,083084,2016,02,07,19.8,1,Y
IDCJAC0010,083084,2016,02,08,20.5,1,Y
IDCJAC0010,083084,2016,02,09,20.1,1,Y
IDCJAC0010,083084,2016,02,10,19.9,1,Y
IDCJAC0010,083084,2016,02,11,21.5,1,Y
IDCJAC0010,083084,2016,02,12,19.4,1,Y
IDCJAC0010,083084,2016,02,13,21.1,1,Y
IDCJAC0010,083084,2016,02,14,17.6,1,Y
IDCJAC0010,083084,2016,02,15,14.3,1,Y
IDCJAC0010,083084,2016,02,16,10.2,1,Y
IDCJAC0010,083084,2016,02,17,14.1,1,Y
IDCJAC0010,083084,2016,02,18,17.8,1,Y
IDCJAC0010,083084,2016,02,19,17.4,1,Y
IDCJAC0010,083084,2016,02,20,17.4,1,Y
IDCJAC0010,083084,2016,02,21,18.6,1,Y
IDCJAC0010,083084,2016,02,22,21.1,1,Y
IDCJAC0010,083084,2016,02,23,22.0,1,Y
IDCJAC0010,083084,2016,02,24,23.0,1,Y
IDCJAC0010,083084,2016,02,25,19.6,1,Y
IDCJAC0010,083084,2016,02,26,19.0,1,Y
