Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,083084,2017,01,01,15.3,1,Y
IDCJAC0010,083084,2017,01,02,16.1,1,Y
IDCJAC0010,083084,2017,01,03,18.7,1,Y
IDCJAC0010,083084,2017,01,04,17.6,1,Y
IDCJAC0010,083084,2017,01,05,18.4,1,Y
IDCJAC0010,083084,2017,01,06,20.9,1,Y
IDCJAC0010,083084,2017,01,07,20.1,1,Y
IDCJAC0010,083084,2017,01,08,19.9,1,Y
IDCJAC0010,083084,2017,01,09,18.1,1,Y
IDCJAC0010,083084,2017,01,10,15.2,1,Y
IDCJAC0010,083084,2017,01,11,18.8,1,Y
IDCJAC0010,083084,2017,01,12,20.2,1,Y
IDCJAC0010,083084,2017,01,13,16.4,1,Y
IDCJAC0010,083084,2017,01,14,11.5,1,Y
IDCJAC0010,083084,2017,01,15,17.7,1,Y
IDCJAC0010,083084,2017,01,16,19.0,1,Y
IDCJAC0010,083084,2017,01,17,23.6,1,Y
IDCJAC0010,083084,2017,01,18,19.3,1,Y
IDCJAC0010,083084,2017,01,19,18.7,1,Y
IDCJAC0010,083084,2017,01,20,15.2,1,Y
IDCJAC0010,083084,2017,01,21,17.3,1,Y
IDCJAC0010,083084,2017,01,22,20.2,1,Y
IDCJAC0010,083084,2017,01,23,21.8,1,Y
IDCJAC0010,083084,2017,01,24,18.8,1,Y
IDCJAC0010,083084,2017,01,25,17.8,1,Y
IDCJAC0010,083084,2017,01,26,19.7,1,Y
IDCJAC0010,083084,2017,01,27,19.3,1,Y
IDCJAC0010,083084,2017,01,28,20.5,1,Y
IDCJAC0010,083084,2017,01,29,22.4,1,Y
IDCJAC0010,083084,2017,01,30,23.2,1,Y
IDCJAC0010,083084,2017,01,31,18.6,1,Y
IDCJAC0010,083084,2017,02,01,15.1,1,N
IDCJAC0010,083084,2017,02,02,15.4,1,N
IDCJAC0010,083084,2017,02,03,18.2,1,N
IDCJAC0010,083084,2017,02,04,18.2,1,N
IDCJAC0010,083084,2017,02,05,17.1,1,N
IDCJAC0010,083084,2017,02,06,14.0,1,N
IDCJAC0010,083084,2017,02,07,18.2,1,Y
IDCJAC0010,083084,2017,02,08,19.0,1,N
IDCJAC0010,083084,2017,02,09,21.3,1,N
