Product code,Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality
IDCJAC0009,083084,2018,01,01,0.0,1,N
IDCJAC0009,083084,2018,01,02,0.0,1,N
IDCJAC0009,083084,2018,01,03,0.0,1,N
IDCJAC0009,083084,2018,01,04,0.0,1,N
IDCJAC0009,083084,2018,01,05,0.0,1,N
IDCJAC0009,083084,2018,01,06,0.0,1,N
IDCJAC0009,083084,2018,01,07,0.0,1,N
IDCJAC0009,083084,2018,01,08,0.0,1,N
IDCJAC0009,083084,2018,01,09,18.6,1,N
IDCJAC0009,083084,2018,01,10,0.0,1,N
IDCJAC0009,083084,2018,01,11,0.0,1,N
IDCJAC0009,083084,2018,01,12,1.0,1,N
IDCJAC0009,083084,2018,01,13,27.8,1,N
IDCJAC0009,083084,2018,01,14,6.2,1,N
IDCJAC0009,083084,2018,01,15,0.0,1,N
IDCJAC0009,083084,2018,01,16,0.2,1,N
IDCJAC0009,083084,2018,01,17,0.0,1,N
IDCJAC0009,083084,2018,01,18,0.0,1,N
IDCJAC0009,083084,2018,01,19,0.0,1,N
IDCJAC0009,083084,2018,01,20,0.0,1,N
IDCJAC0009,083084,2018,01,21,0.0,1,N
IDCJAC0009,083084,2018,01,22,0.4,1,N
IDCJAC0009,083084,2018,01,23,0.6,1,N
IDCJAC0009,083084,2018,01,24,0.0,1,N
IDCJAC0009,083084,2018,01,25,0.0,1,N
IDCJAC0009,083084,2018,01,26,21.4,1,N
IDCJAC0009,083084,2018,01,27,11.6,1,N
IDCJAC0009,083084,2018,01,28,0.4,1,N
IDCJAC0009,083084,2018,01,29,0.0,1,N
IDCJAC0009,083084,2018,01,30,3.4,1,N
IDCJAC0009,083084,2018,01,31,36.0,1,N
IDCJAC0009,083084,2018,02,01,0.0,1,N
IDCJAC0009,083084,2018,02,02,0.0,1,N
IDCJAC0009,083084,2018,02,03,0.2,1,N
IDCJAC0009,083084,2018,02,04,0.2,1,N
IDCJAC0009,083084,2018,02,05,0.0,1,N
IDCJAC0009,083084,2018,02,06,0.0,1,N
IDCJAC0009,083084,2018,02,07,0.0,1,N
IDCJAC0009,083084,2018,02,08,0.0,1,N
IDCJAC0009,083084,2018,02,09,0.0,1,N
IDCJAC0009,083084,2018,02,10,0.2,1,N
IDCJAC0009,083084,2018,02,11,3.6,1,N
IDCJAC0009,083084,2018,02,12,0.0,1,N
IDCJAC0009,083084,2018,02,13,0.0,1,N
IDCJAC0009,083084,2018,02,14,0.0,1,N
IDCJAC0009,083084,2018,02,15,0.0,1,N
IDCJAC0009,083084,2018,02,16,0.0,1,N
IDCJAC0009,083084,2018,02,17,0.0,1,N
IDCJAC0009,083084,2018,02,18,0.0,1,N
IDCJAC0009,083084,2018,02,19,2.0,1,N
IDCJAC0009,083084,2018,02,20,7.4,1,N
IDCJAC0009,083084,2018,02,21,0.2,1,N
IDCJAC0009,083084,2018,02,22,0.0,1,N
IDCJAC0009,083084,2018,02,23,0.0,1,N
IDCJAC0009,083084,2018,02,24,0.0,1,N
IDCJAC0009,083084,2018,02,25,15.6,1,N
IDCJAC0009,083084,2018,02,26,21.8,1,N
IDCJAC0009,083084,2018,02,27,0.0,1,N
IDCJAC0009,083084,2018,02,28,0.0,1,N
IDCJAC0009,083084,2018,03,01,0.0,1,N
IDCJAC0009,083084,2018,03,02,0.0,1,N
IDCJAC0009,083084,2018,03,03,0.0,1,N
IDCJAC0009,083084,2018,03,04,0.0,1,N
