Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,083084,2018,01,01,17.0,1,Y
IDCJAC0010,083084,2018,01,02,16.4,1,Y
IDCJAC0010,083084,2018,01,03,14.8,1,Y
IDCJAC0010,083084,2018,01,04,19.6,1,Y
IDCJAC0010,083084,2018,01,05,20.2,1,Y
IDCJAC0010,083084,2018,01,06,23.4,1,Y
IDCJAC0010,083084,2018,01,07,25.6,1,Y
IDCJAC0010,083084,2018,01,08,18.4,1,Y
IDCJAC0010,083084,2018,01,09,17.3,1,Y
IDCJAC0010,083084,2018,01,10,17.7,1,Y
IDCJAC0010,083084,2018,01,11,18.3,1,Y
IDCJAC0010,083084,2018,01,12,18.7,1,Y
IDCJAC0010,083084,2018,01,13,9.7,1,Y
IDCJAC0010,083084,2018,01,14,9.1,1,Y
IDCJAC0010,083084,2018,01,15,15.3,1,Y
IDCJAC0010,083084,2018,01,16,12.6,1,Y
IDCJAC0010,083084,2018,01,17,18.8,1,Y
IDCJAC0010,083084,2018,01,18,22.5,1,Y
IDCJAC0010,083084,2018,01,19,25.2,1,Y
IDCJAC0010,083084,2018,01,20,26.0,1,Y
IDCJAC0010,083084,2018,01,21,23.6,1,Y
IDCJAC0010,083084,2018,01,22,21.4,1,Y
IDCJAC0010,083084,2018,01,23,24.7,1,Y
IDCJAC0010,083084,2018,01,24,19.6,1,Y
IDCJAC0010,083084,2018,01,25,20.9,1,Y
IDCJAC0010,083084,2018,01,26,22.2,1,Y
IDCJAC0010,083084,2018,01,27,20.9,1,Y
IDCJAC0010,083084,2018,01,28,22.2,1,Y
IDCJAC0010,083084,2018,01,29,20.4,1,Y
IDCJAC0010,083084,2018,01,30,13.4,1,Y
IDCJAC0010,083084,2018,01,31,8.9,1,Y
IDCJAC0010,083084,2018,02,01,12.5,1,Y
IDCJAC0010,083084,2018,02,02,13.6,1,Y
IDCJAC0010,083084,2018,02,03,15.3,1,Y
IDCJAC0010,083084,2018,02,04,18.7,1,Y
IDCJAC0010,083084,2018,02,05,17.8,1,Y
IDCJAC0010,083084,2018,02,06,19.6,1,Y
IDCJAC0010,083084,2018,02,07,20.5,1,Y
IDCJAC0010,083084,2018,02,08,22.2,1,Y
IDCJAC0010,083084,2018,02,09,21.1,1,Y
IDCJAC0010,083084,2018,02,10,19.8,1,Y
